word,chinese_meaning,phonetic,part_of_speech,english_meaning
altogether,"adv. 完全地, 总而言之",.ɒ:ltә'geðә,,r. with everything included or counted
aluminum,n. 铝\n[化] 铝Al,ә'lu:minәm,,n. a silvery ductile metallic element found primarily in bauxite
amateur,"n. 业余爱好者, 外行, 爱好者\n[电] 业余家",'æmәtә,,n. someone who pursues a study or sport as a pastime\nn. an athlete who does not play for pay\ns. engaged in as a pastime
amaze,vt. 使吃惊,ә'meiz,,v. affect with wonder
ambassador,"n. 大使\n[法] 大使, 使节, 代理",æm'bæsәdә,,n. a diplomat of the highest rank; accredited as representative from one country to another\nn. an informal representative
ambiguous,"a. 不明确的, 模棱两可的\n[法] 意思含糊的, 模棱两可的, 暧昧的",æm'bigjuәs,,a. having more than one possible meaning\ns. having no intrinsic or objective meaning; not organized in conventional patterns
ambition,"n. 野心, 志向",æm'biʃәn,,n. a cherished desire\nn. a strong drive for success\nv. have as one's ambition
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的",æm'biʃәs,,a. having a strong desire for success or achievement\ns. requiring full use of your abilities or resources
ambulance,n. 救护车\n[医] 救护车,'æmbjulәns,,n. a vehicle that takes people to and from hospitals
amend,"vt. 修改, 改善, 改良\nvi. 改过自新",ә'mend,,v. make amendments to
amiable,"a. 亲切的, 和蔼可亲的\n[法] 亲和的, 和蔼可亲的",'eimjәbl,,s. disposed to please
amid,"prep. 在其间, 在其中\n[经] 在...中",ә'mid,,prep. See Amidst.\nprep. In the midst or middle of; surrounded or encompassed by;\n   among.
amount,"n. 总数, 总额\nvi. 总计, 等同",ә'maunt,,n. the relative magnitude of something with reference to a criterion\nv. be tantamount or equivalent to
ample,"a. 大量的, 充足的, 丰富的",'æmpl,,a. more than enough in size or scope or capacity\ns. affording an abundant supply\ns. fairly large
amplifier,"n. 扩大的人(物), 放大器, 扩音器\n[计] 放大器",'æmplifaiә,,n. electronic equipment that increases strength of signals passing through it
amplify,"vt. 增强, 放大, 扩大, 详述\nvi. 引伸",'æmplifai,,v. increase the volume of
amuse,"vt. 消遣, 娱乐, 使发笑",ә'mju:z,,"v. occupy in an agreeable, entertaining or pleasant fashion\nv. make (somebody) laugh"
analogue,"n. 类似物, 相似情况\n[医] 类似物, 同型物, 相似器官, 同功异质体",'ænәlɒg,,n. something having the property of being analogous to something else\na. of a circuit or device having an output that is proportional to the input
analogy,"n. 相似, 类似\n[计] 模拟",ә'nælәdʒi,,n. an inference that if things agree in some respects they probably agree in others\nn. drawing a comparison in order to show a similarity in some respect
analyse,"vt. 分析, 细察, 分解\n[经] 分析",'ænәlaiz,,"v consider in detail and subject to an analysis in order to discover essential features or meaning\nv break down into components or essential features\nv make a mathematical, chemical, or grammatical analysis of; break down into components or essential features\nv subject to psychoanalytic treatment"
analysis,n. 分析\n[计] 分析机; 分析员; 分析; 分析程序,ә'nælәsis,,"n. an investigation of the component parts of a whole and their relations in making up the whole\nn. the abstract separation of a whole into its constituent parts in order to study the parts and their relations\nn. a form of literary criticism in which the structure of a piece of writing is analyzed\nn. the use of closed-class words instead of inflections: e.g., `the father of the bride' instead of `the bride's father'"
analytic,"a. 分析的, 善于分析的, 解析的\n[医] 分析的",.ænә'litik,,"a. using or subjected to a methodology using algebra and calculus\na. using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)\na. expressing a grammatical category by using two or more words rather than inflection"
ancestor,"n. 祖先, 祖宗",'ænsestә,,n. someone from whom you are descended (but usually more remote than a grandparent)
anchor,"n. 锚\nvt. 抛锚停泊, 使固定\n[计] 锚",'æŋkә,,n. a mechanical device that prevents a vessel from moving\nn. a central cohesive source of support and stability\nn. a television reporter who coordinates a broadcast to which several correspondents contribute\nv. fix firmly and stably
ancient,"a. 古代的, 古老的, 年老的, 旧的",'einʃәnt,,n. a very old person\nn. a person who lived in ancient times\ns. belonging to times long past especially of the historical period before the fall of the Western Roman Empire\ns. very old
anecdote,"n. 轶事, 奇闻",'ænikdәut,,n. short account of an incident (especially a biographical one)
anemia,"n. 贫血, 贫血症, 无活力\n[医] 贫血",ә'ni:miә,,n. a deficiency of red blood cells\nn. a lack of vitality\nn. genus of terrestrial or lithophytic ferns having pinnatifid fronds; chiefly of tropical America
angel,"n. 天使, 守护神, 善人",'eindʒәl,,n. spiritual being attendant upon God\nn. invests in a theatrical production\nn. the highest waterfall; has more than one leap; flow varies seasonally
anger,"n. 忿怒\nvt. 激怒, 使发怒\nvi. 发怒",'æŋgә,,n. a strong emotion; a feeling that is oriented toward some real or supposed grievance\nn. the state of being angry\nv. make angry\nv. become angry
angle,"n. 角, 角度, 角落\nvi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度\nvt. 使转动角度, 在...钓鱼, 获取",'æŋgl,,n. the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians\nn. a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons\nv. move or proceed at an angle\nv. fish with a hook
anguish,"n. 剧痛, 痛苦\nvt. 使极痛苦\nvi. 感到痛苦",'æŋgwiʃ,,n. extreme mental distress\nn. extreme distress of body or mind\nv. suffer great pains or distress
ankle,"n. 踝\n[医] 踝, 踝关节",'æŋkl,,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
anniversary,n. 周年纪念,æni'vә:sәri,,n. the date on which an event occurred in some previous year (or the celebration of it)
announce,"vt. 宣布, 声称, 显示, 预告\nvi. 当报幕员, 宣布参加竞选",ә'nauns,,v. make known; make an announcement\nv. announce publicly or officially\nv. give the names of\nv. foreshadow or presage
annual,"n. 年刊, 年报\na. 每年的, 一年一次的, 全年的, 一年生的",'ænjuәl,,n. (botany) a plant that completes its entire life cycle within the space of a year\nn. a reference book that is published regularly once every year\na. completing its life cycle within a year\ns. occurring or payable every year
anonymous,"a. 姓氏不详的, 无名的, 无特色的\n[计] 无记录",ә'nɒnimәs,,a. having no known name or identity or known source\ns. not known or lacking marked individuality
ant,n. 蚂蚁,ænt,,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
antenna,"n. 天线, 触须, 触角\n[化] 天线",æn'tenә,,n. an electrical device that sends or receives radio or television signals\nn. sensitivity similar to that of a receptor organ\nn. one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste
anticipate,"vt. 预期, 占先, 加速, 提前使用\n[医] 提前出现, 先期发生",æn'tisipeit,,v. act in advance of; deal with ahead of time\nv. realize beforehand\nv. be excited or anxious about\nv. be a forerunner of or occur earlier than
antique,"n. 古董, 古物\na. 古老的, 古风的, 旧式的, 过时的",æn'ti:k,,n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity\nv. shop for antiques\nv. give an antique appearance to\ns. made in or typical of earlier times and valued for its age
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事\n[医] 焦虑",æŋ'zaiәti,,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic\nn. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
anxious,"a. 忧虑的, 发愁的, 渴望的",'æŋʃәs,,s. eagerly desirous\ns. causing or fraught with or showing anxiety
anyhow,"adv. 无论如何, 至少",'enihau,,"r. used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""\nr. in any way whatsoever"
anyone,pron. 任何人,'eniwʌn,,n. One taken at random rather than by selection; anybody.\n   [Commonly written as two words.]
anyway,"adv. 无论如何, 至少",'eniwei,,"r used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""\nr in any way whatsoever"
anywhere,adv. 无论何处,'enihwєә,,r. at or in or to any place; (`anyplace' is used informally for `anywhere')
apart,"adv. 成零碎, 成距离, 分别地, 分离着\na. 分离的",ә'pɑ:t,,s. remote and separate physically or socially\ns. having characteristics not shared by others\nr. separated or at a distance in place or position or time\nr. not taken into account or excluded from consideration
apartment,"n. 房间, 公寓",ә'pɑ:tmәnt,,n. a suite of rooms usually on one floor of an apartment house
apologise,vi. 道歉（等于apologize）,ә'pɔlәdʒaiz,,"v defend, explain, clear away, or make excuses for by reasoning\nv acknowledge faults or shortcomings or failing"
apology,"n. 道歉, 辩护\n[法] 道歉, 谢罪, 辩解者",ә'pɒlәdʒi,,n. an expression of regret at having caused trouble for someone\nn. a formal written defense of something you believe in strongly\nn. a poor example
appal,"vt. 使惊骇, 使吓坏",ә'pɒ:l,,v strike with disgust or revulsion\nv fill with apprehension or alarm; cause to be unpleasantly surprised
appall,"vt. 使丧胆, 使惊骇",ә'pɒ:l,,v strike with disgust or revulsion\nv fill with apprehension or alarm; cause to be unpleasantly surprised
apparatus,"n. 装置, 器具, 器官\n[化] 仪器; 器械",.æpә'reitәs,,n. equipment designed to serve a specific function\nn. (anatomy) a group of body parts that work together to perform a given function
apparent,"a. 清晰可见的, 显然的, 表面上的\n[电] 外在的",ә'pærәnt,,s. clearly revealed to the mind or the senses or judgment\ns. appearing as such but not necessarily so
appeal,"n. 恳求, 诉请, 上诉, 吸引力\nvi. 呼吁, 诉请, 要求, 上诉, 有吸引力\nvt. 将...上诉",ә'pi:l,,n. attractiveness that interests or pleases or stimulates\nn. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial\nv. take a court case to a higher court for review\nv. request earnestly (something from somebody); ask for aid or protection
appear,"vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现",ә'piә,,"v. come into sight or view\nv. be issued or published\nv. seem to be true, probable, or apparent\nv. come into being or existence, or appear on the scene"
